"","tFirst","tSecond","type"
"1",2021-05-16 11:25:11,2021-05-16 21:16:42,2
"2",2021-05-16 21:16:42,2021-05-17 11:25:01,1
"3",2021-05-17 11:25:01,2021-05-17 21:16:12,2
"4",2021-05-17 21:16:12,2021-05-18 11:23:56,1
"5",2021-05-18 11:23:56,2021-05-18 21:14:58,2
"6",2021-05-18 21:14:58,2021-05-19 12:10:17,1
"7",2021-05-19 12:10:17,2021-05-19 21:18:43,2
"8",2021-05-19 21:18:43,2021-05-20 11:10:29,1
"9",2021-05-20 11:10:29,2021-05-20 21:24:58,2
"10",2021-05-20 21:24:58,2021-05-21 11:12:53,1
"11",2021-05-21 11:12:53,2021-05-21 21:28:09,2
"12",2021-05-21 21:28:09,2021-05-22 11:15:33,1
"13",2021-05-22 11:15:33,2021-05-22 21:28:08,2
"14",2021-05-22 21:28:08,2021-05-23 11:13:37,1
"15",2021-05-23 11:13:37,2021-05-23 21:17:52,2
"16",2021-05-23 21:17:52,2021-05-24 11:21:44,1
"17",2021-05-24 11:21:44,2021-05-24 21:20:00,2
"18",2021-05-24 21:20:00,2021-05-25 11:18:24,1
"19",2021-05-25 11:18:24,2021-05-25 21:27:10,2
"20",2021-05-25 21:27:10,2021-05-26 11:16:45,1
"21",2021-05-26 11:16:45,2021-05-26 21:21:49,2
"22",2021-05-26 21:21:49,2021-05-27 11:17:45,1
"23",2021-05-27 11:17:45,2021-05-27 21:22:11,2
"24",2021-05-27 21:22:11,2021-05-28 11:21:46,1
"25",2021-05-28 11:21:46,2021-05-28 21:22:54,2
"26",2021-05-28 21:22:54,2021-05-29 11:10:42,1
"27",2021-05-29 11:10:42,2021-05-29 21:22:05,2
"28",2021-05-29 21:22:05,2021-05-30 11:13:46,1
"29",2021-05-30 11:13:46,2021-05-30 21:27:13,2
"30",2021-05-30 21:27:13,2021-05-31 10:48:47,1
"31",2021-05-31 10:48:47,2021-05-31 21:37:33,2
"32",2021-05-31 21:37:33,2021-06-01 10:50:38,1
"33",2021-06-01 10:50:38,2021-06-01 21:22:31,2
"34",2021-06-01 21:22:31,2021-06-02 11:13:23,1
"35",2021-06-02 11:13:23,2021-06-02 21:22:14,2
"36",2021-06-02 21:22:14,2021-06-03 11:20:18,1
"37",2021-06-03 11:20:18,2021-06-03 21:27:07,2
"38",2021-06-03 21:27:07,2021-06-04 11:13:49,1
"39",2021-06-04 11:13:49,2021-06-04 21:34:14,2
"40",2021-06-04 21:34:14,2021-06-05 11:27:19,1
"41",2021-06-05 11:27:19,2021-06-05 21:26:11,2
"42",2021-06-05 21:26:11,2021-06-06 11:14:49,1
"43",2021-06-06 11:14:49,2021-06-06 21:27:01,2
"44",2021-06-06 21:27:01,2021-06-07 11:26:50,1
"45",2021-06-07 11:26:50,2021-06-07 21:21:17,2
"46",2021-06-07 21:21:17,2021-06-08 11:25:27,1
"47",2021-06-08 11:25:27,2021-06-08 21:30:55,2
"48",2021-06-08 21:30:55,2021-06-09 11:24:59,1
"49",2021-06-09 11:24:59,2021-06-09 21:24:52,2
"50",2021-06-09 21:24:52,2021-06-10 11:25:11,1
"51",2021-06-10 11:25:11,2021-06-10 21:31:52,2
"52",2021-06-10 21:31:52,2021-06-11 11:13:52,1
"53",2021-06-11 11:13:52,2021-06-11 21:30:57,2
"54",2021-06-11 21:30:57,2021-06-12 11:17:22,1
"55",2021-06-12 11:17:22,2021-06-12 21:31:53,2
"56",2021-06-12 21:31:53,2021-06-13 11:19:52,1
"57",2021-06-13 11:19:52,2021-06-13 21:30:56,2
"58",2021-06-13 21:30:56,2021-06-14 11:26:53,1
"59",2021-06-14 11:26:53,2021-06-14 21:31:24,2
"60",2021-06-14 21:31:24,2021-06-15 11:00:52,1
"61",2021-06-15 11:00:52,2021-06-15 21:24:24,2
"62",2021-06-15 21:24:24,2021-06-16 11:20:14,1
"63",2021-06-16 11:20:14,2021-06-16 21:25:58,2
"64",2021-06-16 21:25:58,2021-06-17 11:05:46,1
"65",2021-06-17 11:05:46,2021-06-17 21:41:46,2
