"","tFirst","tSecond","type"
"1",2021-05-22 11:29:53,2021-05-22 21:12:44,2
"2",2021-05-22 21:12:44,2021-05-23 11:29:53,1
"3",2021-05-23 11:29:53,2021-05-23 21:08:15,2
"4",2021-05-23 21:08:15,2021-05-24 11:28:14,1
"5",2021-05-24 11:28:14,2021-05-24 21:11:16,2
"6",2021-05-24 21:11:16,2021-05-25 11:31:35,1
"7",2021-05-25 11:31:35,2021-05-25 21:15:46,2
"8",2021-05-25 21:15:46,2021-05-26 11:29:16,1
"9",2021-05-26 11:29:16,2021-05-26 20:35:07,2
"10",2021-05-26 20:35:07,2021-05-27 11:20:53,1
"11",2021-05-27 11:20:53,2021-05-27 21:23:42,2
"12",2021-05-27 21:23:42,2021-05-28 11:23:03,1
"13",2021-05-28 11:23:03,2021-05-28 21:23:04,2
"14",2021-05-28 21:23:04,2021-05-29 11:16:38,1
"15",2021-05-29 11:16:38,2021-05-29 21:23:00,2
"16",2021-05-29 21:23:00,2021-05-30 11:19:59,1
"17",2021-05-30 11:19:59,2021-05-30 21:24:46,2
"18",2021-05-30 21:24:46,2021-05-31 10:50:20,1
"19",2021-05-31 10:50:20,2021-05-31 21:28:46,2
"20",2021-05-31 21:28:46,2021-06-01 11:05:21,1
"21",2021-06-01 11:05:21,2021-06-01 21:22:48,2
"22",2021-06-01 21:22:48,2021-06-02 11:18:52,1
"23",2021-06-02 11:18:52,2021-06-02 21:18:55,2
"24",2021-06-02 21:18:55,2021-06-03 11:24:23,1
"25",2021-06-03 11:24:23,2021-06-03 21:27:36,2
"26",2021-06-03 21:27:36,2021-06-04 11:16:23,1
"27",2021-06-04 11:16:23,2021-06-04 21:32:31,2
"28",2021-06-04 21:32:31,2021-06-05 11:27:22,1
"29",2021-06-05 11:27:22,2021-06-05 21:23:08,2
"30",2021-06-05 21:23:08,2021-06-06 11:26:25,1
"31",2021-06-06 11:26:25,2021-06-06 21:20:50,2
"32",2021-06-06 21:20:50,2021-06-07 11:30:06,1
"33",2021-06-07 11:30:06,2021-06-07 21:24:47,2
"34",2021-06-07 21:24:47,2021-06-08 11:30:42,1
"35",2021-06-08 11:30:42,2021-06-08 21:25:18,2
"36",2021-06-08 21:25:18,2021-06-09 11:31:58,1
"37",2021-06-09 11:31:58,2021-06-09 21:26:44,2
"38",2021-06-09 21:26:44,2021-06-10 11:26:28,1
"39",2021-06-10 11:26:28,2021-06-10 21:26:00,2
"40",2021-06-10 21:26:00,2021-06-11 11:16:59,1
"41",2021-06-11 11:16:59,2021-06-11 21:26:46,2
"42",2021-06-11 21:26:46,2021-06-12 11:22:00,1
"43",2021-06-12 11:22:00,2021-06-12 21:28:11,2
"44",2021-06-12 21:28:11,2021-06-13 11:28:16,1
"45",2021-06-13 11:28:16,2021-06-13 21:28:32,2
"46",2021-06-13 21:28:32,2021-06-14 11:25:32,1
"47",2021-06-14 11:25:32,2021-06-14 21:33:33,2
"48",2021-06-14 21:33:33,2021-06-15 11:27:03,1
"49",2021-06-15 11:27:03,2021-06-15 21:27:44,2
"50",2021-06-15 21:27:44,2021-06-16 11:25:33,1
"51",2021-06-16 11:25:33,2021-06-16 21:23:35,2
"52",2021-06-16 21:23:35,2021-06-17 11:34:10,1
"53",2021-06-17 11:34:10,2021-06-17 21:28:16,2
"54",2021-06-17 21:28:16,2021-06-18 11:30:35,1
"55",2021-06-18 11:30:35,2021-06-18 21:29:36,2
"56",2021-06-18 21:29:36,2021-06-19 11:31:56,1
"57",2021-06-19 11:31:56,2021-06-19 21:26:07,2
"58",2021-06-19 21:26:07,2021-06-20 11:29:07,1
"59",2021-06-20 11:29:07,2021-06-20 21:28:18,2
"60",2021-06-20 21:28:18,2021-06-21 11:26:58,1
"61",2021-06-21 11:26:58,2021-06-21 21:28:09,2
"62",2021-06-21 21:28:09,2021-06-22 11:25:38,1
"63",2021-06-22 11:25:38,2021-06-22 21:28:20,2
"64",2021-06-22 21:28:20,2021-06-23 11:23:24,1
"65",2021-06-23 11:23:24,2021-06-23 21:23:21,2
"66",2021-06-23 21:23:21,2021-06-24 11:25:16,1
"67",2021-06-24 11:25:16,2021-06-24 21:29:41,2
"68",2021-06-24 21:29:41,2021-06-25 11:21:41,1
"69",2021-06-25 11:21:41,2021-06-25 21:34:42,2
"70",2021-06-25 21:34:42,2021-06-26 11:28:27,1
"71",2021-06-26 11:28:27,2021-06-26 21:31:13,2
"72",2021-06-26 21:31:13,2021-06-27 11:25:43,1
"73",2021-06-27 11:25:43,2021-06-27 21:45:04,2
"74",2021-06-27 21:45:04,2021-06-28 11:23:43,1
"75",2021-06-28 11:23:43,2021-06-28 21:30:05,2
"76",2021-06-28 21:30:05,2021-06-29 11:25:44,1
"77",2021-06-29 11:25:44,2021-06-29 21:28:46,2
"78",2021-06-29 21:28:46,2021-06-30 11:31:21,1
"79",2021-06-30 11:31:21,2021-06-30 21:28:46,2
"80",2021-06-30 21:28:46,2021-07-01 11:32:26,1
"81",2021-07-01 11:32:26,2021-07-01 21:28:07,2
"82",2021-07-01 21:28:07,2021-07-02 11:31:02,1
"83",2021-07-02 11:31:02,2021-07-02 21:26:18,2
"84",2021-07-02 21:26:18,2021-07-03 11:38:33,1
"85",2021-07-03 11:38:33,2021-07-03 21:29:49,2
"86",2021-07-03 21:29:49,2021-07-04 11:39:18,1
"87",2021-07-04 11:39:18,2021-07-04 21:28:30,2
"88",2021-07-04 21:28:30,2021-07-05 11:40:24,1
"89",2021-07-05 11:40:24,2021-07-05 21:28:31,2
"90",2021-07-05 21:28:31,2021-07-06 11:12:45,1
"91",2021-07-06 11:12:45,2021-07-06 21:48:11,2
"92",2021-07-06 21:48:11,2021-07-07 11:22:03,1
"93",2021-07-07 11:22:03,2021-07-07 21:52:53,2
"94",2021-07-07 21:52:53,2021-07-08 11:03:37,1
"95",2021-07-08 11:03:37,2021-07-08 21:43:02,2
"96",2021-07-08 21:43:02,2021-07-09 10:39:23,1
"97",2021-07-09 10:39:23,2021-07-09 21:48:00,2
"98",2021-07-09 21:48:00,2021-07-10 11:07:53,1
"99",2021-07-10 11:07:53,2021-07-10 21:47:57,2
"100",2021-07-10 21:47:57,2021-07-11 11:12:49,1
"101",2021-07-11 11:12:49,2021-07-11 21:52:57,2
"102",2021-07-11 21:52:57,2021-07-12 11:07:54,1
"103",2021-07-12 11:07:54,2021-07-12 21:38:07,2
"104",2021-07-12 21:38:07,2021-07-13 11:12:54,1
"105",2021-07-13 11:12:54,2021-07-13 21:38:07,2
"106",2021-07-13 21:38:07,2021-07-14 11:31:57,1
"107",2021-07-14 11:31:57,2021-07-14 21:38:24,2
"108",2021-07-14 21:38:24,2021-07-15 10:52:58,1
"109",2021-07-15 10:52:58,2021-07-15 21:53:00,2
"110",2021-07-15 21:53:00,2021-07-16 11:02:46,1
"111",2021-07-16 11:02:46,2021-07-16 21:48:02,2
"112",2021-07-16 21:48:02,2021-07-17 11:21:59,1
"113",2021-07-17 11:21:59,2021-07-17 21:53:03,2
"114",2021-07-17 21:53:03,2021-07-18 10:43:00,1
"115",2021-07-18 10:43:00,2021-07-18 22:38:01,2
"116",2021-07-18 22:38:01,2021-07-19 11:26:51,1
"117",2021-07-19 11:26:51,2021-07-19 21:38:17,2
"118",2021-07-19 21:38:17,2021-07-20 11:25:42,1
"119",2021-07-20 11:25:42,2021-07-20 21:42:03,2
"120",2021-07-20 21:42:03,2021-07-21 11:28:48,1
"121",2021-07-21 11:28:48,2021-07-21 21:35:24,2
"122",2021-07-21 21:35:24,2021-07-22 11:30:03,1
"123",2021-07-22 11:30:03,2021-07-22 21:36:35,2
"124",2021-07-22 21:36:35,2021-07-23 11:27:34,1
"125",2021-07-23 11:27:34,2021-07-23 21:37:21,2
"126",2021-07-23 21:37:21,2021-07-24 11:27:41,1
"127",2021-07-24 11:27:41,2021-07-24 21:39:48,2
"128",2021-07-24 21:39:48,2021-07-25 11:29:06,1
"129",2021-07-25 11:29:06,2021-07-25 21:34:07,2
"130",2021-07-25 21:34:07,2021-07-26 11:32:07,1
"131",2021-07-26 11:32:07,2021-07-26 21:33:48,2
"132",2021-07-26 21:33:48,2021-07-27 11:28:53,1
"133",2021-07-27 11:28:53,2021-07-27 21:35:09,2
"134",2021-07-27 21:35:09,2021-07-28 11:20:48,1
"135",2021-07-28 11:20:48,2021-07-28 21:34:10,2
"136",2021-07-28 21:34:10,2021-07-29 11:24:45,1
"137",2021-07-29 11:24:45,2021-07-29 21:36:41,2
"138",2021-07-29 21:36:41,2021-07-30 11:27:10,1
"139",2021-07-30 11:27:10,2021-07-30 21:40:11,2
"140",2021-07-30 21:40:11,2021-07-31 11:24:11,1
"141",2021-07-31 11:24:11,2021-07-31 21:40:12,2
"142",2021-07-31 21:40:12,2021-08-01 11:19:12,1
"143",2021-08-01 11:19:12,2021-08-01 21:40:13,2
"144",2021-08-01 21:40:13,2021-08-02 11:18:58,1
"145",2021-08-02 11:18:58,2021-08-02 21:34:14,2
"146",2021-08-02 21:34:14,2021-08-03 11:21:28,1
"147",2021-08-03 11:21:28,2021-08-03 21:45:15,2
"148",2021-08-03 21:45:15,2021-08-04 11:32:14,1
"149",2021-08-04 11:32:14,2021-08-04 21:46:46,2
"150",2021-08-04 21:46:46,2021-08-05 11:12:35,1
"151",2021-08-05 11:12:35,2021-08-05 21:44:40,2
"152",2021-08-05 21:44:40,2021-08-06 11:01:16,1
"153",2021-08-06 11:01:16,2021-08-06 21:47:17,2
"154",2021-08-06 21:47:17,2021-08-07 11:12:53,1
"155",2021-08-07 11:12:53,2021-08-07 21:46:48,2
"156",2021-08-07 21:46:48,2021-08-08 11:14:18,1
"157",2021-08-08 11:14:18,2021-08-08 21:46:49,2
"158",2021-08-08 21:46:49,2021-08-09 11:04:18,1
"159",2021-08-09 11:04:18,2021-08-09 21:46:50,2
"160",2021-08-09 21:46:50,2021-08-10 11:07:19,1
"161",2021-08-10 11:07:19,2021-08-10 21:56:51,2
"162",2021-08-10 21:56:51,2021-08-11 11:09:50,1
"163",2021-08-11 11:09:50,2021-08-11 21:47:21,2
