"","tFirst","tSecond","type"
"1",2021-05-17 11:25:42,2021-05-17 21:15:23,2
"2",2021-05-17 21:15:23,2021-05-18 13:20:39,1
"3",2021-05-18 13:20:39,2021-05-18 13:22:08,1
"4",2021-05-18 13:22:08,2021-05-18 21:14:24,2
"5",2021-05-18 21:14:24,2021-05-19 12:04:16,1
"6",2021-05-19 12:04:16,2021-05-19 21:18:10,2
"7",2021-05-19 21:18:10,2021-05-20 11:23:24,1
"8",2021-05-20 11:23:24,2021-05-20 21:18:45,2
"9",2021-05-20 21:18:45,2021-05-21 11:27:55,1
"10",2021-05-21 11:27:55,2021-05-21 21:15:26,2
"11",2021-05-21 21:15:26,2021-05-22 11:27:55,1
"12",2021-05-22 11:27:55,2021-05-22 21:12:07,2
"13",2021-05-22 21:12:07,2021-05-23 11:40:26,1
"14",2021-05-23 11:40:26,2021-05-23 21:09:57,2
"15",2021-05-23 21:09:57,2021-05-24 11:29:07,1
"16",2021-05-24 11:29:07,2021-05-24 21:10:28,2
"17",2021-05-24 21:10:28,2021-05-25 11:30:58,1
"18",2021-05-25 11:30:58,2021-05-25 21:16:53,2
"19",2021-05-25 21:16:53,2021-05-26 11:29:04,1
"20",2021-05-26 11:29:04,2021-05-26 20:32:16,2
"21",2021-05-26 20:32:16,2021-05-27 11:22:59,1
"22",2021-05-27 11:22:59,2021-05-27 21:21:45,2
"23",2021-05-27 21:21:45,2021-05-28 11:20:50,1
"24",2021-05-28 11:20:50,2021-05-28 21:26:32,2
"25",2021-05-28 21:26:32,2021-05-29 11:17:30,1
"26",2021-05-29 11:17:30,2021-05-29 21:23:52,2
"27",2021-05-29 21:23:52,2021-05-30 11:20:31,1
"28",2021-05-30 11:20:31,2021-05-30 21:23:32,2
"29",2021-05-30 21:23:32,2021-05-31 10:54:50,1
"30",2021-05-31 10:54:50,2021-05-31 21:31:50,2
"31",2021-05-31 21:31:50,2021-06-01 10:58:08,1
"32",2021-06-01 10:58:08,2021-06-01 21:22:14,2
"33",2021-06-01 21:22:14,2021-06-02 11:18:03,1
"34",2021-06-02 11:18:03,2021-06-02 21:22:09,2
"35",2021-06-02 21:22:09,2021-06-03 11:23:04,1
"36",2021-06-03 11:23:04,2021-06-03 21:27:07,2
"37",2021-06-03 21:27:07,2021-06-04 11:19:50,1
"38",2021-06-04 11:19:50,2021-06-04 21:33:00,2
"39",2021-06-04 21:33:00,2021-06-05 11:29:35,1
"40",2021-06-05 11:29:35,2021-06-05 21:27:01,2
"41",2021-06-05 21:27:01,2021-06-06 11:19:36,1
"42",2021-06-06 11:19:36,2021-06-06 21:25:07,2
"43",2021-06-06 21:25:07,2021-06-07 11:30:13,1
"44",2021-06-07 11:30:13,2021-06-07 21:26:47,2
"45",2021-06-07 21:26:47,2021-06-08 11:23:07,1
"46",2021-06-08 11:23:07,2021-06-08 21:31:39,2
"47",2021-06-08 21:31:39,2021-06-09 11:24:18,1
"48",2021-06-09 11:24:18,2021-06-09 21:28:39,2
"49",2021-06-09 21:28:39,2021-06-10 11:20:39,1
"50",2021-06-10 11:20:39,2021-06-10 21:28:40,2
"51",2021-06-10 21:28:40,2021-06-11 11:14:40,1
"52",2021-06-11 11:14:40,2021-06-11 21:28:41,2
"53",2021-06-11 21:28:41,2021-06-12 11:24:20,1
"54",2021-06-12 11:24:20,2021-06-12 21:28:42,2
"55",2021-06-12 21:28:42,2021-06-13 11:19:41,1
"56",2021-06-13 11:19:41,2021-06-13 21:28:42,2
"57",2021-06-13 21:28:42,2021-06-14 11:24:57,1
"58",2021-06-14 11:24:57,2021-06-14 21:41:47,2
"59",2021-06-14 21:41:47,2021-06-15 11:24:42,1
"60",2021-06-15 11:24:42,2021-06-15 21:22:44,2
"61",2021-06-15 21:22:44,2021-06-16 11:29:43,1
"62",2021-06-16 11:29:43,2021-06-16 21:23:44,2
"63",2021-06-16 21:23:44,2021-06-17 11:33:20,1
"64",2021-06-17 11:33:20,2021-06-17 21:27:15,2
"65",2021-06-17 21:27:15,2021-06-18 11:31:05,1
"66",2021-06-18 11:31:05,2021-06-18 21:30:16,2
"67",2021-06-18 21:30:16,2021-06-19 11:30:45,1
"68",2021-06-19 11:30:45,2021-06-19 21:25:17,2
"69",2021-06-19 21:25:17,2021-06-20 11:29:46,1
"70",2021-06-20 11:29:46,2021-06-20 21:25:47,2
"71",2021-06-20 21:25:47,2021-06-21 11:28:17,1
"72",2021-06-21 11:28:17,2021-06-21 21:24:48,2
"73",2021-06-21 21:24:48,2021-06-22 11:19:47,1
"74",2021-06-22 11:19:47,2021-06-22 21:33:49,2
"75",2021-06-22 21:33:49,2021-06-23 11:10:48,1
"76",2021-06-23 11:10:48,2021-06-23 21:27:29,2
"77",2021-06-23 21:27:29,2021-06-24 11:24:49,1
"78",2021-06-24 11:24:49,2021-06-24 21:32:20,2
"79",2021-06-24 21:32:20,2021-06-25 11:24:30,1
"80",2021-06-25 11:24:30,2021-06-25 21:32:51,2
"81",2021-06-25 21:32:51,2021-06-26 11:28:50,1
"82",2021-06-26 11:28:50,2021-06-26 21:28:52,2
"83",2021-06-26 21:28:52,2021-06-27 11:15:51,1
"84",2021-06-27 11:15:51,2021-06-27 21:56:56,2
"85",2021-06-27 21:56:56,2021-06-28 11:24:02,1
"86",2021-06-28 11:24:02,2021-06-28 21:27:33,2
"87",2021-06-28 21:27:33,2021-06-29 11:25:52,1
"88",2021-06-29 11:25:52,2021-06-29 21:32:54,2
"89",2021-06-29 21:32:54,2021-06-30 11:28:23,1
"90",2021-06-30 11:28:23,2021-06-30 21:27:54,2
"91",2021-06-30 21:27:54,2021-07-01 11:27:54,1
"92",2021-07-01 11:27:54,2021-07-01 21:27:15,2
"93",2021-07-01 21:27:15,2021-07-02 11:24:55,1
"94",2021-07-02 11:24:55,2021-07-02 21:25:26,2
"95",2021-07-02 21:25:26,2021-07-03 11:30:55,1
"96",2021-07-03 11:30:55,2021-07-03 21:32:21,2
"97",2021-07-03 21:32:21,2021-07-04 11:30:56,1
"98",2021-07-04 11:30:56,2021-07-04 21:25:27,2
"99",2021-07-04 21:25:27,2021-07-05 11:26:45,1
"100",2021-07-05 11:26:45,2021-07-05 21:27:08,2
"101",2021-07-05 21:27:08,2021-07-06 11:29:57,1
"102",2021-07-06 11:29:57,2021-07-06 21:33:59,2
"103",2021-07-06 21:33:59,2021-07-07 11:29:58,1
"104",2021-07-07 11:29:58,2021-07-07 21:27:14,2
"105",2021-07-07 21:27:14,2021-07-08 11:31:19,1
"106",2021-07-08 11:31:19,2021-07-08 21:28:00,2
"107",2021-07-08 21:28:00,2021-07-09 11:33:30,1
"108",2021-07-09 11:33:30,2021-07-09 21:30:31,2
"109",2021-07-09 21:30:31,2021-07-10 11:31:00,1
"110",2021-07-10 11:31:00,2021-07-10 21:33:02,2
"111",2021-07-10 21:33:02,2021-07-11 11:31:37,1
"112",2021-07-11 11:31:37,2021-07-11 21:32:32,2
"113",2021-07-11 21:32:32,2021-07-12 11:35:02,1
"114",2021-07-12 11:35:02,2021-07-12 21:28:03,2
"115",2021-07-12 21:28:03,2021-07-13 11:36:22,1
"116",2021-07-13 11:36:22,2021-07-13 21:24:04,2
"117",2021-07-13 21:24:04,2021-07-14 11:36:23,1
"118",2021-07-14 11:36:23,2021-07-14 21:29:04,2
