"","tFirst","tSecond","type"
"103",2021-07-05 21:25:12,2021-07-06 11:36:56,1
"104",2021-07-06 11:36:56,2021-07-06 21:23:12,2
"105",2021-07-06 21:23:12,2021-07-07 11:37:11,1
"106",2021-07-07 11:37:11,2021-07-07 21:23:12,2
"107",2021-07-07 21:23:12,2021-07-08 11:38:51,1
"108",2021-07-08 11:38:51,2021-07-08 21:22:12,2
"109",2021-07-08 21:22:12,2021-07-09 11:39:11,1
"110",2021-07-09 11:39:11,2021-07-09 21:24:42,2
"111",2021-07-09 21:24:42,2021-07-10 11:36:56,1
"112",2021-07-10 11:36:56,2021-07-10 21:23:32,2
"113",2021-07-10 21:23:32,2021-07-11 11:40:31,1
"114",2021-07-11 11:40:31,2021-07-11 21:28:32,2
"115",2021-07-11 21:28:32,2021-07-12 11:40:31,1
"116",2021-07-12 11:40:31,2021-07-12 21:26:52,2
"117",2021-07-12 21:26:52,2021-07-13 11:40:41,1
"118",2021-07-13 11:40:41,2021-07-13 21:20:12,2
"119",2021-07-13 21:20:12,2021-07-14 11:40:11,1
"120",2021-07-14 11:40:11,2021-07-14 21:26:52,2
"121",2021-07-14 21:26:52,2021-07-15 11:36:56,1
"122",2021-07-15 11:36:56,2021-07-15 21:32:57,2
"123",2021-07-15 21:32:57,2021-07-16 11:27:11,1
"124",2021-07-16 11:27:11,2021-07-16 21:32:12,2
"125",2021-07-16 21:32:12,2021-07-17 11:28:51,1
"126",2021-07-17 11:28:51,2021-07-17 21:32:57,2
"127",2021-07-17 21:32:57,2021-07-18 11:27:41,1
"128",2021-07-18 11:27:41,2021-07-18 21:48:12,2
"129",2021-07-18 21:48:12,2021-07-19 11:22:41,1
"130",2021-07-19 11:22:41,2021-07-19 21:40:12,2
"131",2021-07-19 21:40:12,2021-07-20 11:20:51,1
"132",2021-07-20 11:20:51,2021-07-20 21:39:42,2
"133",2021-07-20 21:39:42,2021-07-21 11:32:47,1
"134",2021-07-21 11:32:47,2021-07-21 21:30:27,2
"135",2021-07-21 21:30:27,2021-07-22 11:30:41,1
"136",2021-07-22 11:30:41,2021-07-22 21:33:12,2
"137",2021-07-22 21:33:12,2021-07-23 11:30:31,1
"138",2021-07-23 11:30:31,2021-07-23 21:38:12,2
"139",2021-07-23 21:38:12,2021-07-24 11:30:41,1
"140",2021-07-24 11:30:41,2021-07-24 21:40:12,2
"141",2021-07-24 21:40:12,2021-07-25 11:28:21,1
"142",2021-07-25 11:28:21,2021-07-25 21:33:12,2
"143",2021-07-25 21:33:12,2021-07-26 11:29:11,1
"144",2021-07-26 11:29:11,2021-07-26 21:33:12,2
"145",2021-07-26 21:33:12,2021-07-27 11:26:56,1
"146",2021-07-27 11:26:56,2021-07-27 21:32:12,2
"147",2021-07-27 21:32:12,2021-07-28 11:14:11,1
"148",2021-07-28 11:14:11,2021-07-28 21:37:12,2
"149",2021-07-28 21:37:12,2021-07-29 11:20:11,1
"150",2021-07-29 11:20:11,2021-07-29 21:41:52,2
"151",2021-07-29 21:41:52,2021-07-30 11:24:11,1
"152",2021-07-30 11:24:11,2021-07-30 19:45:27,2
"153",2021-07-30 19:45:27,2021-07-30 19:46:56,1
"154",2021-07-30 19:46:56,2021-07-31 11:20:51,2
"155",2021-07-31 11:20:51,2021-07-31 21:42:12,2
"156",2021-07-31 21:42:12,2021-08-01 11:15:41,1
"157",2021-08-01 11:15:41,2021-08-01 21:42:12,2
"158",2021-08-01 21:42:12,2021-08-02 11:14:11,1
"159",2021-08-02 11:14:11,2021-08-02 21:41:29,2
"160",2021-08-02 21:41:29,2021-08-03 11:17:41,1
"161",2021-08-03 11:17:41,2021-08-03 21:48:12,2
"162",2021-08-03 21:48:12,2021-08-04 10:55:41,1
"163",2021-08-04 10:55:41,2021-08-04 21:42:12,2
"164",2021-08-04 21:42:12,2021-08-05 11:07:11,1
"165",2021-08-05 11:07:11,2021-08-05 21:49:42,2
"166",2021-08-05 21:49:42,2021-08-06 10:59:11,1
"167",2021-08-06 10:59:11,2021-08-06 21:53:12,2
"168",2021-08-06 21:53:12,2021-08-07 11:12:41,1
"169",2021-08-07 11:12:41,2021-08-07 21:45:12,2
"170",2021-08-07 21:45:12,2021-08-08 11:09:11,1
"171",2021-08-08 11:09:11,2021-08-08 21:51:36,2
"172",2021-08-08 21:51:36,2021-08-09 11:09:18,1
"173",2021-08-09 11:09:18,2021-08-09 21:43:12,2
"174",2021-08-09 21:43:12,2021-08-10 11:12:41,1
"175",2021-08-10 11:12:41,2021-08-10 21:52:12,2
"176",2021-08-10 21:52:12,2021-08-11 11:15:11,1
"177",2021-08-11 11:15:11,2021-08-11 21:48:12,2
"178",2021-08-11 21:48:12,2021-08-12 11:10:31,1
"179",2021-08-12 11:10:31,2021-08-12 21:47:12,2
"180",2021-08-12 21:47:12,2021-08-13 11:10:56,1
"181",2021-08-13 11:10:56,2021-08-13 21:53:12,2
"182",2021-08-13 21:53:12,2021-08-14 11:00:31,1
"183",2021-08-14 11:00:31,2021-08-14 21:46:19,2
"184",2021-08-14 21:46:19,2021-08-15 11:13:51,1
"185",2021-08-15 11:13:51,2021-08-15 21:33:12,2
"186",2021-08-15 21:33:12,2021-08-16 11:10:59,1
"187",2021-08-16 11:10:59,2021-08-16 21:43:12,2
"188",2021-08-16 21:43:12,2021-08-17 11:17:11,1
"189",2021-08-17 11:17:11,2021-08-17 21:46:52,2
"190",2021-08-17 21:46:52,2021-08-18 11:08:11,1
"191",2021-08-18 11:08:11,2021-08-18 21:44:42,2
"192",2021-08-18 21:44:42,2021-08-19 11:12:41,1
"193",2021-08-19 11:12:41,2021-08-19 21:44:42,2
"194",2021-08-19 21:44:42,2021-08-20 11:14:11,1
"195",2021-08-20 11:14:11,2021-08-20 21:43:12,2
"196",2021-08-20 21:43:12,2021-08-21 11:12:11,1
"197",2021-08-21 11:12:11,2021-08-21 21:40:12,2
"198",2021-08-21 21:40:12,2021-08-22 11:15:31,1
"199",2021-08-22 11:15:31,2021-08-22 21:41:52,2
"200",2021-08-22 21:41:52,2021-08-23 11:07:41,1
"201",2021-08-23 11:07:41,2021-08-23 21:39:42,2
"202",2021-08-23 21:39:42,2021-08-24 11:02:11,1
"203",2021-08-24 11:02:11,2021-08-24 21:48:12,2
"204",2021-08-24 21:48:12,2021-08-25 11:05:19,1
"205",2021-08-25 11:05:19,2021-08-25 21:46:17,2
"206",2021-08-25 21:46:17,2021-08-26 11:06:56,1
"207",2021-08-26 11:06:56,2021-08-26 21:46:36,2
"208",2021-08-26 21:46:36,2021-08-27 11:01:56,1
"209",2021-08-27 11:01:56,2021-08-27 21:51:42,2
"210",2021-08-27 21:51:42,2021-08-28 11:10:31,1
"211",2021-08-28 11:10:31,2021-08-28 21:46:42,2
"212",2021-08-28 21:46:42,2021-08-29 11:05:11,1
"213",2021-08-29 11:05:11,2021-08-29 21:44:42,2
"214",2021-08-29 21:44:42,2021-08-30 11:05:11,1
"215",2021-08-30 11:05:11,2021-08-30 21:48:19,2
"216",2021-08-30 21:48:19,2021-08-31 10:54:11,1
"217",2021-08-31 10:54:11,2021-08-31 21:50:12,2
"218",2021-08-31 21:50:12,2021-09-01 10:56:56,1
"219",2021-09-01 10:56:56,2021-09-01 21:48:12,2
"220",2021-09-01 21:48:12,2021-09-02 11:00:31,1
"221",2021-09-02 11:00:31,2021-09-02 21:48:12,2
"222",2021-09-02 21:48:12,2021-09-03 11:00:31,1
"223",2021-09-03 11:00:31,2021-09-03 21:47:57,2
"224",2021-09-03 21:47:57,2021-09-04 10:59:11,1
"225",2021-09-04 10:59:11,2021-09-04 21:49:12,2
"226",2021-09-04 21:49:12,2021-09-05 10:57:11,1
"227",2021-09-05 10:57:11,2021-09-05 21:50:27,2
"228",2021-09-05 21:50:27,2021-09-06 10:53:11,1
"229",2021-09-06 10:53:11,2021-09-06 21:48:12,2
"230",2021-09-06 21:48:12,2021-09-07 10:52:41,1
"231",2021-09-07 10:52:41,2021-09-07 21:51:29,2
"232",2021-09-07 21:51:29,2021-09-08 10:52:41,1
"233",2021-09-08 10:52:41,2021-09-08 21:55:12,2
"234",2021-09-08 21:55:12,2021-09-09 10:50:47,1
"235",2021-09-09 10:50:47,2021-09-09 21:51:36,2
"236",2021-09-09 21:51:36,2021-09-10 10:52:11,1
"237",2021-09-10 10:52:11,2021-09-10 21:57:12,2
"238",2021-09-10 21:57:12,2021-09-11 10:52:41,1
"239",2021-09-11 10:52:41,2021-09-11 21:58:12,2
"240",2021-09-11 21:58:12,2021-09-12 10:49:11,1
"241",2021-09-12 10:49:11,2021-09-12 21:59:12,2
"242",2021-09-12 21:59:12,2021-09-13 10:49:11,1
"243",2021-09-13 10:49:11,2021-09-13 21:54:42,2
