"","tFirst","tSecond","type"
"1",2021-05-30 11:30:36,2021-05-30 21:16:41,2
"2",2021-05-30 21:16:41,2021-05-31 11:11:01,1
"3",2021-05-31 11:11:01,2021-05-31 21:21:57,2
"4",2021-05-31 21:21:57,2021-06-01 11:15:37,1
"5",2021-06-01 11:15:37,2021-06-02 21:14:18,2
"6",2021-06-02 21:14:18,2021-06-03 11:30:54,1
"7",2021-06-03 11:30:54,2021-06-03 21:19:49,2
"8",2021-06-03 21:19:49,2021-06-04 11:27:48,1
"9",2021-06-04 11:27:48,2021-06-04 21:20:35,2
"10",2021-06-04 21:20:35,2021-06-05 11:35:39,1
"11",2021-06-05 11:35:39,2021-06-05 21:15:35,2
"12",2021-06-05 21:15:35,2021-06-06 11:32:19,1
"13",2021-06-06 11:32:19,2021-06-06 21:18:06,2
"14",2021-06-06 21:18:06,2021-06-07 11:35:40,1
"15",2021-06-07 11:35:40,2021-06-07 21:21:36,2
"16",2021-06-07 21:21:36,2021-06-08 11:25:50,1
"17",2021-06-08 11:25:50,2021-06-08 21:26:28,2
"18",2021-06-08 21:26:28,2021-06-09 11:21:21,1
"19",2021-06-09 11:21:21,2021-06-09 21:22:25,2
"20",2021-06-09 21:22:25,2021-06-10 11:17:52,1
"21",2021-06-10 11:17:52,2021-06-10 21:31:25,2
"22",2021-06-10 21:31:25,2021-06-11 11:11:21,1
"23",2021-06-11 11:11:21,2021-06-11 21:31:25,2
"24",2021-06-11 21:31:25,2021-06-12 11:19:38,1
"25",2021-06-12 11:19:38,2021-06-12 21:31:26,2
"26",2021-06-12 21:31:26,2021-06-13 11:11:22,1
"27",2021-06-13 11:11:22,2021-06-13 21:27:36,2
"28",2021-06-13 21:27:36,2021-06-14 11:21:23,1
"29",2021-06-14 11:21:23,2021-06-14 21:31:44,2
"30",2021-06-14 21:31:44,2021-06-15 11:19:24,1
"31",2021-06-15 11:19:24,2021-06-15 21:26:28,2
"32",2021-06-15 21:26:28,2021-06-16 11:26:13,1
"33",2021-06-16 11:26:13,2021-06-16 21:28:46,2
"34",2021-06-16 21:28:46,2021-06-17 11:22:55,1
"35",2021-06-17 11:22:55,2021-06-17 21:25:42,2
"36",2021-06-17 21:25:42,2021-06-18 11:33:02,1
"37",2021-06-18 11:33:02,2021-06-18 21:28:47,2
"38",2021-06-18 21:28:47,2021-06-19 11:29:26,1
