"","tFirst","tSecond","type"
"1",2021-05-30 11:34:16,2021-05-30 21:14:12,2
"2",2021-05-30 21:14:12,2021-05-31 11:52:49,1
"3",2021-05-31 11:52:49,2021-05-31 21:20:21,2
"4",2021-05-31 21:20:21,2021-06-01 11:18:12,1
"5",2021-06-01 11:18:12,2021-06-01 21:12:18,2
"6",2021-06-01 21:12:18,2021-06-02 11:34:17,1
"7",2021-06-02 11:34:17,2021-06-02 21:12:22,2
"8",2021-06-02 21:12:22,2021-06-03 11:33:48,1
"9",2021-06-03 11:33:48,2021-06-03 21:13:59,2
"10",2021-06-03 21:13:59,2021-06-04 11:50:43,1
"11",2021-06-04 11:50:43,2021-06-04 21:18:00,2
"12",2021-06-04 21:18:00,2021-06-05 11:39:19,1
"13",2021-06-05 11:39:19,2021-06-05 21:13:00,2
"14",2021-06-05 21:13:00,2021-06-06 11:35:59,1
"15",2021-06-06 11:35:59,2021-06-06 21:15:31,2
"16",2021-06-06 21:15:31,2021-06-07 12:03:57,1
"17",2021-06-07 12:03:57,2021-06-07 21:16:01,2
"18",2021-06-07 21:16:01,2021-06-08 11:31:31,1
"19",2021-06-08 11:31:31,2021-06-08 21:23:32,2
"20",2021-06-08 21:23:32,2021-06-09 11:28:56,1
"21",2021-06-09 11:28:56,2021-06-09 21:20:42,2
"22",2021-06-09 21:20:42,2021-06-10 11:32:12,1
"23",2021-06-10 11:32:12,2021-06-10 21:21:27,2
"24",2021-06-10 21:21:27,2021-06-11 11:21:32,1
"25",2021-06-11 11:21:32,2021-06-11 21:30:06,2
"26",2021-06-11 21:30:06,2021-06-12 11:26:33,1
"27",2021-06-12 11:26:33,2021-06-12 21:32:04,2
"28",2021-06-12 21:32:04,2021-06-13 11:27:13,1
"29",2021-06-13 11:27:13,2021-06-13 21:32:05,2
"30",2021-06-13 21:32:05,2021-06-14 11:30:49,1
"31",2021-06-14 11:30:49,2021-06-14 21:30:45,2
"32",2021-06-14 21:30:45,2021-06-15 11:29:35,1
"33",2021-06-15 11:29:35,2021-06-15 21:25:46,2
"34",2021-06-15 21:25:46,2021-06-16 11:23:05,1
"35",2021-06-16 11:23:05,2021-06-16 21:26:06,2
"36",2021-06-16 21:26:06,2021-06-17 11:29:46,1
"37",2021-06-17 11:29:46,2021-06-17 21:24:07,2
"38",2021-06-17 21:24:07,2021-06-18 11:29:54,1
"39",2021-06-18 11:29:54,2021-06-18 21:30:37,2
"40",2021-06-18 21:30:37,2021-06-19 11:33:43,1
"41",2021-06-19 11:33:43,2021-06-19 21:28:38,2
"42",2021-06-19 21:28:38,2021-06-20 11:26:07,1
"43",2021-06-20 11:26:07,2021-06-20 21:32:29,2
"44",2021-06-20 21:32:29,2021-06-21 11:27:48,1
"45",2021-06-21 11:27:48,2021-06-21 21:30:17,2
"46",2021-06-21 21:30:17,2021-06-22 11:29:08,1
"47",2021-06-22 11:29:08,2021-06-22 21:30:40,2
"48",2021-06-22 21:30:40,2021-06-23 11:23:24,1
"49",2021-06-23 11:23:24,2021-06-23 21:23:40,2
"50",2021-06-23 21:23:40,2021-06-24 11:30:55,1
