"","tFirst","tSecond","type"
"1",2021-05-30 11:29:09,2021-05-30 21:16:10,2
"2",2021-05-30 21:16:10,2021-05-31 11:09:45,1
"3",2021-05-31 11:09:45,2021-05-31 21:22:25,2
"4",2021-05-31 21:22:25,2021-06-01 11:15:50,1
"5",2021-06-01 11:15:50,2021-06-01 21:13:41,2
"6",2021-06-01 21:13:41,2021-06-02 12:16:10,1
"7",2021-06-02 12:16:10,2021-06-02 21:13:41,2
"8",2021-06-02 21:13:41,2021-06-03 11:31:47,1
"9",2021-06-03 11:31:47,2021-06-03 21:16:42,2
"10",2021-06-03 21:16:42,2021-06-04 11:29:41,1
"11",2021-06-04 11:29:41,2021-06-04 21:20:32,2
"12",2021-06-04 21:20:32,2021-06-05 11:37:12,1
"13",2021-06-05 11:37:12,2021-06-05 21:14:58,2
"14",2021-06-05 21:14:58,2021-06-06 11:38:57,1
"15",2021-06-06 11:38:57,2021-06-06 21:17:13,2
"16",2021-06-06 21:17:13,2021-06-07 11:35:53,1
"17",2021-06-07 11:35:53,2021-06-07 21:19:14,2
"18",2021-06-07 21:19:14,2021-06-08 11:13:10,1
"19",2021-06-08 11:13:10,2021-06-08 21:28:23,2
"20",2021-06-08 21:28:23,2021-06-09 11:32:44,1
"21",2021-06-09 11:32:44,2021-06-09 21:20:35,2
"22",2021-06-09 21:20:35,2021-06-10 11:19:44,1
"23",2021-06-10 11:19:44,2021-06-10 21:28:28,2
"24",2021-06-10 21:28:28,2021-06-11 11:16:15,1
"25",2021-06-11 11:16:15,2021-06-11 21:28:32,2
"26",2021-06-11 21:28:32,2021-06-12 11:16:15,1
"27",2021-06-12 11:16:15,2021-06-12 21:33:32,2
"28",2021-06-12 21:33:32,2021-06-13 11:21:16,1
"29",2021-06-13 11:21:16,2021-06-13 21:33:21,2
"30",2021-06-13 21:33:21,2021-06-14 11:24:16,1
"31",2021-06-14 11:24:16,2021-06-14 21:30:03,2
"32",2021-06-14 21:30:03,2021-06-15 11:27:37,1
"33",2021-06-15 11:27:37,2021-06-15 21:26:48,2
"34",2021-06-15 21:26:48,2021-06-16 11:29:02,1
"35",2021-06-16 11:29:02,2021-06-16 21:21:49,2
"36",2021-06-16 21:21:49,2021-06-17 11:24:48,1
"37",2021-06-17 11:24:48,2021-06-17 21:25:19,2
"38",2021-06-17 21:25:19,2021-06-18 11:26:54,1
"39",2021-06-18 11:26:54,2021-06-18 21:35:20,2
"40",2021-06-18 21:35:20,2021-06-19 11:23:02,1
"41",2021-06-19 11:23:02,2021-06-19 21:30:20,2
"42",2021-06-19 21:30:20,2021-06-20 11:22:19,1
"43",2021-06-20 11:22:19,2021-06-20 21:31:51,2
"44",2021-06-20 21:31:51,2021-06-21 11:18:07,1
"45",2021-06-21 11:18:07,2021-06-21 21:30:21,2
