"","tFirst","tSecond","type"
"1",2021-05-22 11:31:53,2021-05-22 21:12:39,2
"2",2021-05-22 21:12:39,2021-05-23 11:31:53,1
"3",2021-05-23 11:31:53,2021-05-23 21:08:15,2
"4",2021-05-23 21:08:15,2021-05-24 11:28:34,1
"5",2021-05-24 11:28:34,2021-05-24 21:09:56,2
"6",2021-05-24 21:09:56,2021-05-25 11:29:10,1
"7",2021-05-25 11:29:10,2021-05-25 21:18:56,2
"8",2021-05-25 21:18:56,2021-05-26 11:28:32,1
"9",2021-05-26 11:28:32,2021-05-26 20:33:22,2
"10",2021-05-26 20:33:22,2021-05-27 11:33:33,1
"11",2021-05-27 11:33:33,2021-05-27 21:12:43,2
"12",2021-05-27 21:12:43,2021-05-28 11:34:34,1
"13",2021-05-28 11:34:34,2021-05-28 21:12:23,2
"14",2021-05-28 21:12:23,2021-05-29 11:28:38,1
"15",2021-05-29 11:28:38,2021-05-29 21:13:24,2
"16",2021-05-29 21:13:24,2021-05-30 11:33:39,1
"17",2021-05-30 11:33:39,2021-05-30 21:15:01,2
"18",2021-05-30 21:15:01,2021-05-31 11:52:36,1
"19",2021-05-31 11:52:36,2021-05-31 21:21:31,2
"20",2021-05-31 21:21:31,2021-06-01 11:03:11,1
"21",2021-06-01 11:03:11,2021-06-01 21:16:42,2
"22",2021-06-01 21:16:42,2021-06-02 11:24:52,1
"23",2021-06-02 11:24:52,2021-06-02 21:15:18,2
"24",2021-06-02 21:15:18,2021-06-03 11:22:38,1
"25",2021-06-03 11:22:38,2021-06-03 21:31:07,2
"26",2021-06-03 21:31:07,2021-06-04 11:15:33,1
"27",2021-06-04 11:15:33,2021-06-04 21:30:05,2
"28",2021-06-04 21:30:05,2021-06-05 11:25:40,1
"29",2021-06-05 11:25:40,2021-06-05 21:25:05,2
"30",2021-06-05 21:25:05,2021-06-06 11:23:05,1
"31",2021-06-06 11:23:05,2021-06-06 21:23:06,2
"32",2021-06-06 21:23:06,2021-06-07 11:28:46,1
"33",2021-06-07 11:28:46,2021-06-07 21:23:07,2
"34",2021-06-07 21:23:07,2021-06-08 11:25:57,1
"35",2021-06-08 11:25:57,2021-06-08 21:25:23,2
"36",2021-06-08 21:25:23,2021-06-09 11:31:52,1
"37",2021-06-09 11:31:52,2021-06-09 21:17:33,2
"38",2021-06-09 21:17:33,2021-06-10 11:29:56,1
"39",2021-06-10 11:29:56,2021-06-10 21:22:55,2
"40",2021-06-10 21:22:55,2021-06-11 11:25:23,1
"41",2021-06-11 11:25:23,2021-06-11 21:24:00,2
"42",2021-06-11 21:24:00,2021-06-12 11:26:55,1
"43",2021-06-12 11:26:55,2021-06-12 21:25:26,2
"44",2021-06-12 21:25:26,2021-06-13 11:23:46,1
"45",2021-06-13 11:23:46,2021-06-13 21:24:42,2
"46",2021-06-13 21:24:42,2021-06-14 11:28:21,1
"47",2021-06-14 11:28:21,2021-06-14 21:23:13,2
"48",2021-06-14 21:23:13,2021-06-15 11:16:57,1
"49",2021-06-15 11:16:57,2021-06-15 21:23:14,2
"50",2021-06-15 21:23:14,2021-06-16 11:32:49,1
"51",2021-06-16 11:32:49,2021-06-16 21:22:14,2
"52",2021-06-16 21:22:14,2021-06-17 11:30:44,1
"53",2021-06-17 11:30:44,2021-06-17 21:21:39,2
"54",2021-06-17 21:21:39,2021-06-18 11:25:35,1
"55",2021-06-18 11:25:35,2021-06-18 21:26:31,2
"56",2021-06-18 21:26:31,2021-06-19 11:30:56,1
"57",2021-06-19 11:30:56,2021-06-19 21:21:59,2
"58",2021-06-19 21:21:59,2021-06-20 11:29:16,1
"59",2021-06-20 11:29:16,2021-06-20 21:27:04,2
"60",2021-06-20 21:27:04,2021-06-21 11:22:47,1
"61",2021-06-21 11:22:47,2021-06-21 21:23:19,2
"62",2021-06-21 21:23:19,2021-06-22 11:30:48,1
"63",2021-06-22 11:30:48,2021-06-22 21:25:34,2
"64",2021-06-22 21:25:34,2021-06-23 11:22:19,1
"65",2021-06-23 11:22:19,2021-06-23 21:21:23,2
"66",2021-06-23 21:21:23,2021-06-24 11:29:00,1
"67",2021-06-24 11:29:00,2021-06-24 21:23:41,2
"68",2021-06-24 21:23:41,2021-06-25 11:28:56,1
"69",2021-06-25 11:28:56,2021-06-25 21:30:22,2
"70",2021-06-25 21:30:22,2021-06-26 11:32:06,1
"71",2021-06-26 11:32:06,2021-06-26 21:22:23,2
"72",2021-06-26 21:22:23,2021-06-27 11:25:42,1
"73",2021-06-27 11:25:42,2021-06-27 21:49:53,2
"74",2021-06-27 21:49:53,2021-06-28 11:27:08,1
"75",2021-06-28 11:27:08,2021-06-28 21:26:27,2
"76",2021-06-28 21:26:27,2021-06-29 11:27:09,1
"77",2021-06-29 11:27:09,2021-06-29 21:22:57,2
"78",2021-06-29 21:22:57,2021-06-30 11:29:40,1
"79",2021-06-30 11:29:40,2021-06-30 21:23:26,2
"80",2021-06-30 21:23:26,2021-07-01 11:33:25,1
